comment_id,post_id,user_id,author_id,post_timestamp,comment_timestamp,like_count,text_content,clean_text,rho,window_size,post_comment_count,mean_token_length,semantic_entropy,spectral_entropy,combined_entropy,normalized_entropy,W_i,burst_risk
5168671673813883,5168642909012094,1843043365,2262125065,2025-05-21 15:32:40+08:00,2025-05-21 17:26:59+08:00,1,Al用好，大大提高工作效率,Al用好，大大提高工作效率,0.011081730011150696,6,6,5.166666666666667,1.7826027887331355,1.4942410406331883,1.7169537024090007,0.9582501066109711,0.6813973756671029,0.3186026243328971
5168735967253056,5168642909012094,1944846544,2262125065,2025-05-21 15:32:40+08:00,2025-05-21 21:42:28+08:00,2,熟练掌握AI 提高工作效率,熟练掌握AI 提高工作效率,0.011081730011150705,6,6,5.166666666666667,1.7826027887331355,1.4942410406331883,1.7169537024090007,0.9582501066109711,0.6813973756671028,0.3186026243328972
5168748576902530,5168642909012094,2262125065,2262125065,2025-05-21 15:32:40+08:00,2025-05-21 22:32:34+08:00,0,快乐不受追诉期限,快乐不受追诉期限,0.011081730011150707,6,6,5.166666666666667,1.7826027887331355,1.4942410406331883,1.7169537024090007,0.9582501066109711,0.6813973756671027,0.3186026243328973
5168751906655525,5168642909012094,2391160162,2262125065,2025-05-21 15:32:40+08:00,2025-05-21 22:45:48+08:00,0,Ai利用得好，事半功倍,Ai利用得好，事半功倍,0.011081730011150709,6,6,5.166666666666667,1.7826027887331355,1.4942410406331883,1.7169537024090007,0.9582501066109711,0.6813973756671027,0.3186026243328973
5168773258805281,5168642909012094,1944846544,2262125065,2025-05-21 15:32:40+08:00,2025-05-22 00:10:38+08:00,1,适应新的科技也是一种职业技能,适应新的科技也是一种职业技能,0.01108173001115071,6,6,5.166666666666667,1.7826027887331355,1.4942410406331883,1.7169537024090007,0.9582501066109711,0.6813973756671027,0.3186026243328973
5171964496839219,5168642909012094,6459736687,2262125065,2025-05-21 15:32:40+08:00,2025-05-30 19:31:28+08:00,0,哈哈,哈哈,0.011081730011149897,6,6,5.166666666666667,1.7826027887331355,1.4942410406331883,1.7169537024090007,0.9582501066109711,0.6813973756671218,0.3186026243328782
5224133450272482,5224128316968309,7879980411,1660737882,2025-10-21 18:11:53+08:00,2025-10-21 18:32:17+08:00,0,小北的微博还是要多看的,小北的微博还是要多看的,0.012348213440995065,14,14,5.0,2.6109928835577816,1.749861003219677,2.4205111859547443,0.9171877998980889,0.6398077074627202,0.3601922925372798
5224161070547537,5224128316968309,1306134883,1660737882,2025-10-21 18:11:53+08:00,2025-10-21 20:22:02+08:00,0,@我的印象笔记,@我的印象笔记,0.012348213440995074,14,14,5.0,2.6109928835577816,1.749861003219677,2.4205111859547443,0.9171877998980889,0.63980770746272,0.36019229253728
5224166521570663,5224128316968309,1738940033,1660737882,2025-10-21 18:11:53+08:00,2025-10-21 20:43:42+08:00,0,转发微博,转发微博,0.012348213440995074,14,14,5.0,2.6109928835577816,1.749861003219677,2.4205111859547443,0.9171877998980889,0.63980770746272,0.36019229253728
5224192985534578,5224128316968309,1319325061,1660737882,2025-10-21 18:11:53+08:00,2025-10-21 22:28:51+08:00,0,转发微博,转发微博,0.012348213440995081,14,14,5.0,2.6109928835577816,1.749861003219677,2.4205111859547443,0.9171877998980889,0.6398077074627199,0.36019229253728013
5224210496226521,5224128316968309,1727839061,1660737882,2025-10-21 18:11:53+08:00,2025-10-21 23:38:26+08:00,0,@我的印象笔记,@我的印象笔记,0.012348213440995088,14,14,5.0,2.6109928835577816,1.749861003219677,2.4205111859547443,0.9171877998980889,0.6398077074627196,0.36019229253728036
5224218262244212,5224128316968309,7744743980,1660737882,2025-10-21 18:11:53+08:00,2025-10-22 00:09:18+08:00,1,@我的印象笔记,@我的印象笔记,0.01234821344099509,14,14,5.0,2.6109928835577816,1.749861003219677,2.4205111859547443,0.9171877998980889,0.6398077074627196,0.36019229253728036
5224270553945024,5224128316968309,2012221875,1660737882,2025-10-21 18:11:53+08:00,2025-10-22 03:37:05+08:00,0,@我的印象笔记,@我的印象笔记,0.012348213440995105,14,14,5.0,2.6109928835577816,1.749861003219677,2.4205111859547443,0.9171877998980889,0.6398077074627193,0.3601922925372807
5224282366151526,5224128316968309,7532851753,1660737882,2025-10-21 18:11:53+08:00,2025-10-22 04:24:01+08:00,0,必须点赞,必须点赞,0.012348213440995109,14,14,5.0,2.6109928835577816,1.749861003219677,2.4205111859547443,0.9171877998980889,0.6398077074627192,0.3601922925372808
5224296662176060,5224128316968309,7794695456,1660737882,2025-10-21 18:11:53+08:00,2025-10-22 05:20:50+08:00,0,具体怎么给ai喂数据呢,具体怎么给ai喂数据呢,0.012348213440995114,14,14,5.0,2.6109928835577816,1.749861003219677,2.4205111859547443,0.9171877998980889,0.6398077074627191,0.3601922925372809
5224658366368706,5224128316968309,5715903023,1660737882,2025-10-21 18:11:53+08:00,2025-10-23 05:18:07+08:00,0,您好，您说的是手机端工具吗？,您好，您说的是手机端工具吗？,0.012348213440995195,14,14,5.0,2.6109928835577816,1.749861003219677,2.4205111859547443,0.9171877998980889,0.6398077074627172,0.3601922925372828
5224658527059982,5224128316968309,5715903023,1660737882,2025-10-21 18:11:53+08:00,2025-10-23 05:18:44+08:00,0,沉浸式翻译 这个是软件名字吗？,沉浸式翻译 这个是软件名字吗？,0.012348213440995195,14,14,5.0,2.6109928835577816,1.749861003219677,2.4205111859547443,0.9171877998980889,0.6398077074627172,0.3601922925372828
5224663796155607,5224128316968309,1876165433,1660737882,2025-10-21 18:11:53+08:00,2025-10-23 05:39:41+08:00,0,canva是个好东西,canva是个好东西,0.012348213440995197,14,14,5.0,2.6109928835577816,1.749861003219677,2.4205111859547443,0.9171877998980889,0.6398077074627172,0.3601922925372828
5226727052938991,5224128316968309,7894759420,1660737882,2025-10-21 18:11:53+08:00,2025-10-28 22:18:20+08:00,0,@我的印象笔记,@我的印象笔记,0.01234821344099509,14,14,5.0,2.6109928835577816,1.749861003219677,2.4205111859547443,0.9171877998980889,0.6398077074627196,0.36019229253728036
5237986984988719,5224128316968309,3206676271,1660737882,2025-10-21 18:11:53+08:00,2025-11-29 00:01:17+08:00,0,@我的印象笔记,@我的印象笔记,0.012348213440977009,14,14,5.0,2.6109928835577816,1.749861003219677,2.4205111859547443,0.9171877998980889,0.6398077074631381,0.3601922925368619
5239027726813434,5238723182071277,1822539407,1223779797,2025-12-01 00:46:40+08:00,2025-12-01 20:56:49+08:00,1,这效果太好了吧，细节优化好到位,这效果太好了吧，细节优化好到位,0.00997355701003581,4,4,8.25,1.386208052750251,1.0814740215693015,1.2832058770112624,0.9256373776018607,0.6994837511569006,0.30051624884309935
5239094567503742,5238723182071277,7019449471,1223779797,2025-12-01 00:46:40+08:00,2025-12-02 01:22:25+08:00,1,确实创意的优先级提到最高层里了，创意验证成本超低,确实创意的优先级提到最高层里了，创意验证成本超低,0.009973557010035812,4,4,8.25,1.386208052750251,1.0814740215693015,1.2832058770112624,0.9256373776018607,0.6994837511569005,0.30051624884309946
5239113410417561,5238723182071277,7923764843,1223779797,2025-12-01 00:46:40+08:00,2025-12-02 02:37:18+08:00,1,要充钱吧,要充钱吧,0.009973557010035812,4,4,8.25,1.386208052750251,1.0814740215693015,1.2832058770112624,0.9256373776018607,0.6994837511569005,0.30051624884309946
5239542005112401,5238723182071277,2215914981,1223779797,2025-12-01 00:46:40+08:00,2025-12-03 07:00:23+08:00,1,好牛啊,好牛啊,0.0099735570100358,4,4,8.25,1.386208052750251,1.0814740215693015,1.2832058770112624,0.9256373776018607,0.6994837511569009,0.30051624884309913
5265244617703630,5265177114577208,2728197815,1554710050,2026-02-12 00:45:09+08:00,2026-02-12 05:13:22+08:00,0,"记住了ai bot,我去试试，感谢","记住了ai bot,我去试试，感谢",0.01218990301226598,12,12,12.666666666666666,2.4797504224593054,2.3257844098297245,2.4075125640589827,0.9688543286985769,0.6587889385751232,0.3412110614248768
5265423950154415,5265177114577208,5389140127,1554710050,2026-02-12 00:45:09+08:00,2026-02-12 17:05:59+08:00,3,deepseek之前就领先过一次,deepseek之前就领先过一次,0.012189903012265992,12,12,12.666666666666666,2.4797504224593054,2.3257844098297245,2.4075125640589827,0.9688543286985769,0.6587889385751229,0.3412110614248771
5265458045650438,5265177114577208,1815695602,1554710050,2026-02-12 00:45:09+08:00,2026-02-12 19:21:28+08:00,1,海啸来袭，哪些行业会最受影响？影视，游戏…所有线上的内容产业？,海啸来袭，哪些行业会最受影响？影视，游戏…所有线上的内容产业？,0.012189903012265992,12,12,12.666666666666666,2.4797504224593054,2.3257844098297245,2.4075125640589827,0.9688543286985769,0.6587889385751229,0.3412110614248771
5265509970872648,5265177114577208,1656180444,1554710050,2026-02-12 00:45:09+08:00,2026-02-12 22:47:48+08:00,0,不是see dance，是seed ance,不是see dance，是seed ance,0.012189903012265996,12,12,12.666666666666666,2.4797504224593054,2.3257844098297245,2.4075125640589827,0.9688543286985769,0.6587889385751229,0.3412110614248771
5265532245771300,5265177114577208,1622976711,1554710050,2026-02-12 00:45:09+08:00,2026-02-13 00:16:19+08:00,0,演员要失业吗,演员要失业吗,0.012189903012265996,12,12,12.666666666666666,2.4797504224593054,2.3257844098297245,2.4075125640589827,0.9688543286985769,0.6587889385751229,0.3412110614248771
5265592022994241,5265177114577208,2139642810,1554710050,2026-02-12 00:45:09+08:00,2026-02-13 04:13:51+08:00,2,技术不够数据凑,技术不够数据凑,0.012189903012265996,12,12,12.666666666666666,2.4797504224593054,2.3257844098297245,2.4075125640589827,0.9688543286985769,0.6587889385751229,0.3412110614248771
